FICHA DE REGISTRO;;;
Investigador:;;Ramos Miller Miguel Martín;
Empresa:;;IEP. José Buenaventura Sepúlveda;
Dimensión:;;Búsqueda de Bienes;
Indicador:;;Búsquedas exitosamente realizadas;
Fórmula;;;
;;;
Ítem;Búsquedas exitosamente realizadas (unidad);Total de Búsquedas Realizadas (unidad);Búsquedas Perfectas
1;11;21;52%
2;9;20;45%
3;14;23;61%
4;10;19;53%
5;12;21;57%
6;7;18;39%
7;11;22;50%
8;11;21;52%
9;11;20;55%
10;9;19;47%
11;10;19;53%
12;15;23;65%
13;11;21;52%
14;15;23;65%
15;15;23;65%
16;13;22;59%
17;11;20;55%
18;13;21;62%
19;8;18;44%
20;10;20;50%
21;14;22;64%
22;10;18;56%
23;14;23;61%
24;10;21;48%
25;10;21;48%
26;11;22;50%
27;7;18;39%
28;9;20;45%
29;8;18;44%
30;11;19;58%
31;9;19;47%
32;7;18;39%
33;8;18;44%
34;10;19;53%
35;12;20;60%
