Item;Código;Denominación;Grupo;Clase;Resolución;Estado
1;04220001;ELECTROEYACULADOR PARA BOVINOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;011-2019/SBN;ACTIVO
2;04220050;ABONADORAS EN GENERAL;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
3;04220240;AGITADOR MAGNETICO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
4;04220287;AGITADOR MECANICO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
5;04220335;ALIMENTADOR AUTOMATICO PARA PECES;04 AGRICOLA Y PESQUERO;22 EQUIPO;0015-2004/SBN-GO;ACTIVO
4;04220287;AGITADOR MECANICO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
6;04220431;ARADOS EN GENERAL;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
7;04220478;ASTILLADORA FORESTAL;04 AGRICOLA Y PESQUERO;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
8;04220526;BIOFILTRO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0090-1999/SBN;ACTIVO
9;04220573;BOMBA DE PRESION;04 AGRICOLA Y PESQUERO;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
10;04220621;BRUJULA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
11;04220812;CAMARA BIOCLIMATICA;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
12;04221002;CAMARA CLIMATICA - FITOTRON;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
13;04221097;CAMARA CONSERVADORA DE SEMILLAS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2016/SBN-DNR;ACTIVO
14;04221192;CAMPANA DE CALEFACCION PARA ANIMALES;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
15;04221383;CARTOSCOPIO;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
16;04221573;CORTADORA DE CESPED;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
17;04221668;CORTADORA/SIERRA DE PRECISION PARA OTOLITOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
18;04221763;CRIADERO DE RAYOS INFRARROJOS;04 AGRICOLA Y PESQUERO;22 EQUIPO;0158-97/SBN;ACTIVO
