"id";"code";"description";"goods_catalog_id";"warehouse_id";"trademark";"model";"type";"color";"series";"state_of_conservation";"date_acquired";"value";"observations";"is_active";"created_at";"updated_at"
1;"83818107";RESTITUIDOR TOPOGRAFICO;2223;10;;;;silver;#33a17a;A;"2022-05-20";174.7;MED;1;"2023-05-27 02:41:06";"2023-10-10 02:41:06"
2;"82064663";MONITOR DE GASES EN SANGRE;1322;26;;;;aqua;#472eee;A;"2023-10-10";10.3;MED;0;"2023-03-15 02:41:06";"2023-10-08 02:41:06"
3;"34201728";SOPORTE PARA PENTAGRAMA;605;13;;;;silver;#b43378;A;"2021-07-04";312.9;MED;0;"2023-05-21 02:41:06";"2023-10-18 02:41:06"
4;"18252139";CORTADORA DE GASAS;889;3;;;;silver;#815e32;A;"2022-10-07";370.0;MED;0;"2022-12-19 02:41:06";"2023-10-17 02:41:06"
5;"89232270";VIDEO CAMARA PARA COMPUTADORA;3623;27;;;;maroon;#6b7225;A;"2022-08-19";268.6;MED;1;"2023-08-14 02:41:06";"2023-10-13 02:41:06"
6;"83932163";MAQUINA MULTIESTACION;4058;28;;;;white;#65ea2e;A;"2022-06-19";251.8;MED;1;"2023-08-16 02:41:06";"2023-10-19 02:41:06"
7;"80857815";ASPIRADORA BARREDORA DE EVIDENCIAS;2372;2;;;;gray;#cf00c8;C;"2023-08-22";452.4;MED;1;"2023-05-23 02:41:06";"2023-10-15 02:41:06"
8;"69949488";SONDA DE MEDICION RADIACTIVO;2263;28;;;;fuchsia;#eda534;B;"2020-10-01";283.3;MED;0;"2023-01-02 02:41:06";"2023-10-15 02:41:06"
9;"36499474";BANCO PRESS PARA PECHO OLIMPICO;4008;14;;;;blue;#46d183;B;"2019-02-02";41.4;MED;1;"2023-06-18 02:41:06";"2023-10-11 02:41:06"
10;"42940060";IMPRESORA DE TARJETAS;4485;8;;;;purple;#86cb21;A;"2020-03-11";436.6;MED;0;"2023-02-27 02:41:06";"2023-10-10 02:41:06"
11;"52632779";HISTEROMETRO;2043;28;;;;gray;#90ff72;A;"2019-06-19";148.4;MED;1;"2023-01-18 02:41:06";"2023-10-18 02:41:06"
12;"47859497";TINA METALICA PARA BAÃO DE ORFEBRERIA EN GENERAL;3394;5;;;;black;#913a93;B;"2023-06-19";417.7;MED;1;"2022-11-02 02:41:06";"2023-10-17 02:41:06"
13;"68136377";BAÃO CIRCULANTE;137;27;;;;yellow;#a3e5cf;B;"2022-07-20";434.1;MED;0;"2023-05-24 02:41:06";"2023-10-18 02:41:06"
14;"43440970";NAVE DE CARGA METALERA;3453;24;;;;fuchsia;#0270ce;B;"2019-06-13";275.2;MED;1;"2023-06-01 02:41:06";"2023-10-12 02:41:06"
15;"73339297";BOMBA DE SANGRE;797;29;;;;aqua;#c33d65;B;"2019-03-13";410.2;MED;0;"2023-09-15 02:41:06";"2023-10-16 02:41:06"
16;"43439837";POLEAS CRUZADAS MULTIFUNCION;4083;29;;;;maroon;#a1196c;A;"2022-08-20";24.7;MED;0;"2022-12-29 02:41:06";"2023-10-14 02:41:06"
17;"71119601";DOBLADORA ENGRAPADORA;3655;20;;;;maroon;#fe6075;B;"2022-02-09";92.2;MED;0;"2023-05-15 02:41:06";"2023-10-16 02:41:06"
18;"25734987";ROTADOR DE PLAQUETAS;1421;24;;;;navy;#4a02a2;B;"2022-03-23";400.7;MED;1;"2023-01-23 02:41:06";"2023-10-17 02:41:06"
19;"36109534";TANQUE DE ALMACENAMIENTO REFRIGERADO;2723;15;;;;green;#47e3b7;A;"2022-12-30";361.6;MED;1;"2023-01-26 02:41:06";"2023-10-10 02:41:06"
20;"11837360";MINI GIMNASIO;4068;17;;;;yellow;#cbb1f5;A;"2023-04-12";307.7;MED;0;"2023-07-04 02:41:06";"2023-10-11 02:41:06"
21;"52958390";EQUIPO TRADUCTOR DE IDIOMAS;3658;19;;;;black;#eb620b;C;"2023-06-06";313.8;MED;0;"2023-06-23 02:41:06";"2023-10-09 02:41:06"
22;"43753641";CISTOSCOPIO;863;8;;;;white;#1cf1eb;B;"2021-07-17";156.8;MED;0;"2022-09-29 02:41:06";"2023-10-18 02:41:06"
23;"23459647";CHARANGO;434;15;;;;lime;#bcf6e4;A;"2021-08-25";85.8;MED;1;"2022-12-23 02:41:06";"2023-10-13 02:41:06"
24;"83760063";REPOSTERO DE MELAMINA;386;13;;;;blue;#1a1774;A;"2020-06-08";362.4;MED;1;"2022-12-13 02:41:06";"2023-10-17 02:41:06"
25;"22768196";ANALIZADOR LOGICO DE SEÃAL DIGITAL;4247;11;;;;green;#61dcd6;A;"2020-05-31";228.5;MED;0;"2023-06-24 02:41:06";"2023-10-13 02:41:06"
26;"32833458";SIMULADOR ANATOMICO EN GENERAL (MAYOR A 1/4 UIT);1436;27;;;;silver;#495dc0;A;"2023-06-10";454.9;MED;0;"2022-12-28 02:41:06";"2023-10-14 02:41:06"
27;"78358162";MEDIDOR DE VIBRACIONES - VIBROMETRO;2099;30;;;;teal;#18b8f1;C;"2022-10-28";462.7;MED;0;"2023-01-29 02:41:06";"2023-10-16 02:41:06"
28;"65177585";ESTUFA;1124;25;;;;navy;#a68ca4;A;"2021-09-24";23.2;MED;1;"2023-08-18 02:41:06";"2023-10-16 02:41:06"
29;"66933114";EQUIPO PARA BAÃO DE FLOTACION;1070;30;;;;silver;#0551a7;A;"2022-06-10";229.2;MED;1;"2023-05-02 02:41:06";"2023-10-19 02:41:06"
30;"72054503";SILLA DE EVACUACION;1673;11;;;;black;#fb4b1a;C;"2022-02-17";110.6;MED;1;"2022-10-14 02:41:06";"2023-10-09 02:41:06"
31;"11704368";COMBINADA HIDRAULICA PARA RESCATE;2445;30;;;;navy;#5ff481;C;"2020-01-02";90.4;MED;1;"2023-08-06 02:41:06";"2023-10-11 02:41:06"
32;"60968333";EQUIPO DE AIRE ACONDICIONADO DE PRECISION;166;28;;;;black;#fcc2c9;B;"2021-03-01";169.8;MED;0;"2023-07-11 02:41:06";"2023-10-10 02:41:06"
33;"57023274";SILLA PLEGABLE DE METAL;3947;5;;;;aqua;#be1af3;B;"2020-07-09";372.9;MED;1;"2022-12-27 02:41:06";"2023-10-17 02:41:06"
34;"49559632";MAQUINA PARA GRABAR METAL EN PLANO;3179;5;;;;gray;#e5a1ea;A;"2021-04-19";208.0;MED;0;"2023-07-17 02:41:06";"2023-10-17 02:41:06"
35;"56523831";MESITA DE OTRO MATERIAL;3881;9;;;;navy;#9059d3;A;"2022-02-18";318.7;MED;1;"2022-10-08 02:41:06";"2023-10-11 02:41:06"
36;"62218331";SUBESTACION ELECTRICA;684;23;;;;blue;#f4cb57;B;"2022-02-20";294.6;MED;0;"2023-09-07 02:41:06";"2023-10-11 02:41:06"
37;"61397323";ALIMENTADOR DE SEÃAL;4228;29;;;;maroon;#9c04c0;C;"2019-03-23";321.1;MED;0;"2023-05-15 02:41:06";"2023-10-14 02:41:06"
38;"49572876";SISTEMA PARA CITOGENETICA/CARIOTIPO/FISH/MFISH/CGH/SKY;1473;22;;;;olive;#f082fe;B;"2019-05-09";74.7;MED;0;"2022-11-19 02:41:06";"2023-10-10 02:41:06"
39;"70099490";CARDIOTOCOGRAFO;1834;12;;;;fuchsia;#9e664b;C;"2021-11-06";410.6;MED;1;"2023-02-08 02:41:06";"2023-10-16 02:41:06"
40;"62227222";CLASIFICADOR ESPIRAL;2439;5;;;;white;#b9911b;A;"2022-12-15";71.7;MED;1;"2023-04-24 02:41:06";"2023-10-14 02:41:06"
41;"65389592";ANALIZADOR DE MARCADORES TUMORALES;1739;7;;;;lime;#470654;B;"2021-04-15";117.0;MED;0;"2022-12-08 02:41:06";"2023-10-16 02:41:06"
42;"58970828";EQUIPO ESPECIALIZADO DUPLICADOR QUE PERMITE REALIZAR IMAGENES FORENSE O COPIAS BIT A BIT;4387;20;;;;yellow;#a8af57;A;"2021-09-21";48.7;MED;1;"2023-05-01 02:41:06";"2023-10-12 02:41:06"
43;"80374520";SILLA ERGONOMICA PARA MASAJES;264;3;;;;white;#0b9b34;A;"2023-09-01";386.8;MED;0;"2023-03-31 02:41:06";"2023-10-13 02:41:06"
44;"63151073";DESPICADORA;2468;3;;;;olive;#193562;B;"2021-01-26";379.5;MED;0;"2022-12-24 02:41:06";"2023-10-16 02:41:06"
45;"69525099";EQUIPO DE ASISTENCIA MECANICA DE TOS;694;3;;;;white;#b4dfea;A;"2022-10-29";438.5;MED;1;"2023-03-22 02:41:06";"2023-10-16 02:41:06"
46;"18347547";CAMARA DE RADIOISOTOPOS;1823;20;;;;lime;#51d365;C;"2020-02-18";430.4;MED;0;"2023-07-07 02:41:06";"2023-10-19 02:41:06"
47;"21810453";CEPILLADORA DE REGROSAR SUPERFICIE Y SIERRA CIRCULAR;2946;18;;;;fuchsia;#461652;A;"2021-03-30";83.6;MED;0;"2022-12-19 02:41:06";"2023-10-09 02:41:06"
48;"86282672";ALBUMINOMETRO;1722;12;;;;maroon;#2f4482;C;"2020-02-10";123.3;MED;0;"2023-09-16 02:41:06";"2023-10-13 02:41:06"
49;"49684802";SECADOR DE ARIDOS;2850;10;;;;lime;#2b7f0c;A;"2020-10-12";352.5;MED;0;"2023-06-25 02:41:06";"2023-10-15 02:41:06"
50;"69170582";ELIMINADOR DE REVESTIMIENTO;2481;3;;;;green;#300538;B;"2022-09-09";80.7;MED;0;"2023-03-30 02:41:06";"2023-10-17 02:41:06"
51;"72729168";EQUIPO DE RAYOS X DENTAL;1025;5;;;;silver;#163faf;C;"2022-11-06";260.0;MED;1;"2023-03-25 02:41:06";"2023-10-11 02:41:06"
52;"63700697";REGULADOR DE VOLTAJE;676;21;;;;blue;#5d1a46;B;"2019-04-10";35.6;MED;0;"2022-11-06 02:41:06";"2023-10-19 02:41:06"
53;"44905456";CAMARA DE VIDEO;4288;27;;;;aqua;#bb1eae;A;"2022-03-08";247.7;MED;1;"2022-12-29 02:41:06";"2023-10-09 02:41:06"
54;"42882838";QUERIOSCOPIO;1398;30;;;;yellow;#4ceafb;A;"2022-01-09";230.0;MED;1;"2023-03-09 02:41:06";"2023-10-13 02:41:06"
55;"55185699";PILADORA DE ARROZ;3257;22;;;;blue;#e03b58;C;"2023-09-20";42.8;MED;0;"2023-04-04 02:41:06";"2023-10-12 02:41:06"
56;"24169381";TRANSCRIPTOR;4741;8;;;;blue;#eed396;A;"2019-12-23";127.2;MED;0;"2022-11-26 02:41:06";"2023-10-15 02:41:06"
57;"85593366";FLEXATONO;466;7;;;;aqua;#9ea914;A;"2019-07-14";145.0;MED;0;"2023-04-01 02:41:06";"2023-10-18 02:41:06"
58;"86325494";BUGLE;418;25;;;;fuchsia;#5ffbf1;A;"2022-06-30";63.5;MED;0;"2023-01-01 02:41:06";"2023-10-10 02:41:06"
59;"56065274";COSFIMETRO;1877;20;;;;yellow;#847840;A;"2022-07-15";284.8;MED;1;"2023-01-16 02:41:06";"2023-10-14 02:41:06"
60;"29081722";RECTIFICADOR DE CIGUEÃALES;3286;23;;;;silver;#cd45d8;B;"2021-09-05";151.0;MED;0;"2023-01-27 02:41:06";"2023-10-14 02:41:06"
61;"16009394";PICATODO DE ALIMENTOS;336;13;;;;olive;#b6cf29;A;"2019-07-14";356.1;MED;1;"2022-11-10 02:41:06";"2023-10-17 02:41:06"
62;"16762324";CASILLERO DE MADERA;3789;26;;;;aqua;#b0a2e3;A;"2022-05-03";108.6;MED;1;"2023-03-06 02:41:06";"2023-10-15 02:41:06"
63;"62226307";GRABADORA DE CARRETE;4475;14;;;;olive;#dcf18e;A;"2022-07-21";78.7;MED;0;"2023-02-24 02:41:06";"2023-10-16 02:41:06"
64;"62841560";SILLON PARA LAVAR CABELLO;266;23;;;;blue;#07e682;A;"2022-02-18";401.3;MED;0;"2023-09-08 02:41:06";"2023-10-09 02:41:06"
